"timestamp", "origin", "buses", "passengers", "waiting_psg", "commuting_psg"
"01:00.0","tick","0","0","0","0"
"01:00.0","generate","0","2","2","0"
"02:00.0","tick","0","2","2","0"
"02:00.0","generate","0","4","4","0"
"03:00.0","tick","1","4","4","0"
"03:00.0","generate","1","6","6","0"
"04:00.0","tick","1","6","6","0"
"04:00.0","generate","1","8","8","0"
"05:00.0","tick","1","8","8","0"
"05:00.0","generate","1","10","10","0"
"06:00.0","tick","1","10","10","0"
"06:00.0","generate","1","12","12","0"
"07:00.0","tick","1","12","12","0"
"07:00.0","generate","1","14","14","0"
"08:00.0","tick","1","14","14","0"
"08:00.0","func_wrapper","1","14","10","4"
"08:00.0","generate","1","16","12","4"
"09:00.0","tick","1","16","12","4"
"09:00.0","generate","1","18","14","4"
"10:00.0","tick","1","18","14","4"
"10:00.0","generate","1","20","16","4"
"11:00.0","tick","2","21","17","4"
"11:00.0","generate","2","22","18","4"
"12:00.0","tick","2","22","18","4"
"12:00.0","func_wrapper","2","22","14","8"
"12:00.0","generate","2","24","16","8"
"13:00.0","tick","2","24","16","8"
"13:00.0","func_wrapper","2","20","8","12"
"13:00.0","func_wrapper","2","20","8","12"
"13:00.0","generate","2","21","9","12"
"14:00.0","tick","2","21","9","12"
"14:00.0","generate","2","23","11","12"
"15:00.0","tick","2","23","11","12"
"15:00.0","generate","2","25","13","12"
"16:00.0","tick","3","25","13","12"
"16:00.0","generate","3","27","15","12"
"17:00.0","tick","4","27","15","12"
"17:00.0","func_wrapper","4","28","12","16"
"17:00.0","generate","4","29","13","16"
"18:00.0","tick","4","29","13","16"
"18:00.0","func_wrapper","4","29","10","19"
"18:00.0","func_wrapper","4","22","7","15"
"18:00.0","func_wrapper","3","25","7","18"
"18:00.0","generate","3","26","8","18"
"19:00.0","tick","4","27","9","18"
"19:00.0","func_wrapper","4","16","6","10"
"19:00.0","func_wrapper","3","12","6","6"
"19:00.0","func_wrapper","4","9","6","3"
"19:00.0","generate","2","13","7","6"
"20:00.0","tick","2","13","7","6"
"20:00.0","func_wrapper","1","8","5","3"
"20:00.0","func_wrapper","2","5","5","0"
"20:00.0","generate","1","9","6","3"
